marsh,habitat,site_id,variable,value
bis,bcb,1,mean_burrows,2.6666666666666665
bis,bcb,2,mean_burrows,6
bis,bcb,3,mean_burrows,24
bis,bcb,4,mean_burrows,6.666666666666667
bis,bcb,5,mean_burrows,3.3333333333333335
cogg,bcb,6,mean_burrows,33.666666666666664
cogg,bcb,33,mean_burrows,56.666666666666664
cogg,bcb,36,mean_burrows,27
cogg,bcb,55,mean_burrows,64.33333333333333
cogg,bcb,94,mean_burrows,59.333333333333336
nag,bcb,26,mean_burrows,34
nag,bcb,36,mean_burrows,51
nag,bcb,44,mean_burrows,31.666666666666668
nag,bcb,62,mean_burrows,34
nag,bcb,new,mean_burrows,24.666666666666668
pas,bcb,1,mean_burrows,0.3333333333333333
pas,bcb,2,mean_burrows,0
pas,bcb,3,mean_burrows,3
pas,bcb,4,mean_burrows,43.333333333333336
pas,bcb,5,mean_burrows,44
bis,iva,1,mean_burrows,4
bis,iva,2,mean_burrows,3.3333333333333335
bis,iva,3,mean_burrows,0
bis,iva,4,mean_burrows,5
bis,iva,5,mean_burrows,7.333333333333333
cogg,iva,14,mean_burrows,5
cogg,iva,15,mean_burrows,0
cogg,iva,72,mean_burrows,14.666666666666666
cogg,iva,84,mean_burrows,0
cogg,iva,90,mean_burrows,0
nag,iva,1,mean_burrows,0
nag,iva,10,mean_burrows,0
nag,iva,42,mean_burrows,8.666666666666666
nag,iva,48,mean_burrows,1.6666666666666667
nag,iva,98,mean_burrows,0
pas,iva,1,mean_burrows,0
pas,iva,2,mean_burrows,0
pas,iva,3,mean_burrows,0.6666666666666666
pas,iva,4,mean_burrows,0
pas,iva,5,mean_burrows,0
bis,mp,1,mean_burrows,0.3333333333333333
bis,mp,2,mean_burrows,26.333333333333332
bis,mp,3,mean_burrows,14
bis,mp,4,mean_burrows,7
bis,mp,5,mean_burrows,5.333333333333333
cogg,mp,1,mean_burrows,2.6666666666666665
cogg,mp,10,mean_burrows,0
cogg,mp,23,mean_burrows,0
cogg,mp,28,mean_burrows,5.666666666666667
cogg,mp,58,mean_burrows,1.6666666666666667
nag,mp,4,mean_burrows,0
nag,mp,21,mean_burrows,0
nag,mp,34,mean_burrows,0.3333333333333333
nag,mp,45,mean_burrows,0
nag,mp,56,mean_burrows,0
pas,mp,1,mean_burrows,0
pas,mp,2,mean_burrows,0
pas,mp,3,mean_burrows,0
pas,mp,4,mean_burrows,9.333333333333334
pas,mp,5,mean_burrows,0.6666666666666666
bis,vcb,1,mean_burrows,3.3333333333333335
bis,vcb,2,mean_burrows,9
bis,vcb,3,mean_burrows,9.333333333333334
bis,vcb,4,mean_burrows,18.333333333333332
bis,vcb,5,mean_burrows,0.6666666666666666
cogg,vcb,4,mean_burrows,5.666666666666667
cogg,vcb,46,mean_burrows,10
cogg,vcb,48,mean_burrows,18.333333333333332
cogg,vcb,75,mean_burrows,8.666666666666666
cogg,vcb,88,mean_burrows,19
nag,vcb,3,mean_burrows,16.666666666666668
nag,vcb,8,mean_burrows,20.666666666666668
nag,vcb,11,mean_burrows,0
nag,vcb,16,mean_burrows,10
nag,vcb,77,mean_burrows,3.6666666666666665
pas,vcb,1,mean_burrows,1
pas,vcb,2,mean_burrows,1.6666666666666667
pas,vcb,3,mean_burrows,1.6666666666666667
pas,vcb,4,mean_burrows,9.333333333333334
pas,vcb,5,mean_burrows,8.333333333333334
bis,bcb,1,burrow_density,10.666666666666666
bis,bcb,2,burrow_density,24
bis,bcb,3,burrow_density,96
bis,bcb,4,burrow_density,26.666666666666668
bis,bcb,5,burrow_density,13.333333333333334
cogg,bcb,6,burrow_density,134.66666666666666
cogg,bcb,33,burrow_density,226.66666666666666
