year,site_id,habitat,variable,value
2010,cogg,"NA",extent_bare_creekbank_cogg,0
2010,nag,"NA",extent_bare_creekbank_nag,0
2012,cogg,"NA",extent_bare_creekbank_cogg,2.88
2012,nag,"NA",extent_bare_creekbank_nag,0
2013,cogg,"NA",extent_bare_creekbank_cogg,2.84
2013,nag,"NA",extent_bare_creekbank_nag,1.83
2015,cogg,"NA",extent_bare_creekbank_cogg,5.46
2015,nag,"NA",extent_bare_creekbank_nag,2.87
2004,"NA","NA",fishing_effort_all_predators,928879
2005,"NA","NA",fishing_effort_all_predators,1024712
2006,"NA","NA",fishing_effort_all_predators,930173
2007,"NA","NA",fishing_effort_all_predators,876711
2008,"NA","NA",fishing_effort_all_predators,924396
2009,"NA","NA",fishing_effort_all_predators,642860
2010,"NA","NA",fishing_effort_all_predators,873044
2011,"NA","NA",fishing_effort_all_predators,666209
2012,"NA","NA",fishing_effort_all_predators,693020
2013,"NA","NA",fishing_effort_all_predators,919883
2014,"NA","NA",fishing_effort_all_predators,636412
2004,"NA","NA",fishing_effort_striped_bass,654970
2005,"NA","NA",fishing_effort_striped_bass,741061
2006,"NA","NA",fishing_effort_striped_bass,689075
2007,"NA","NA",fishing_effort_striped_bass,648008
2008,"NA","NA",fishing_effort_striped_bass,630438
2009,"NA","NA",fishing_effort_striped_bass,439678
2010,"NA","NA",fishing_effort_striped_bass,538291
2011,"NA","NA",fishing_effort_striped_bass,364416
2012,"NA","NA",fishing_effort_striped_bass,411036
2013,"NA","NA",fishing_effort_striped_bass,624801
2014,"NA","NA",fishing_effort_striped_bass,328527
1998,"NA","NA",all_wading_birds,922
1999,"NA","NA",all_wading_birds,874
2e3,"NA","NA",all_wading_birds,1015
2001,"NA","NA",all_wading_birds,770
2002,"NA","NA",all_wading_birds,968
2003,"NA","NA",all_wading_birds,784
2004,"NA","NA",all_wading_birds,767
2005,"NA","NA",all_wading_birds,600
2006,"NA","NA",all_wading_birds,496
2007,"NA","NA",all_wading_birds,667
2008,"NA","NA",all_wading_birds,491
2009,"NA","NA",all_wading_birds,610
2010,"NA","NA",all_wading_birds,503
2011,"NA","NA",all_wading_birds,441
2012,"NA","NA",all_wading_birds,573
2013,"NA","NA",all_wading_birds,519
2014,"NA","NA",all_wading_birds,504
2015,"NA","NA",all_wading_birds,742
1998,"NA","NA",crustacean_eating_waders,618
1999,"NA","NA",crustacean_eating_waders,563
2e3,"NA","NA",crustacean_eating_waders,632
2001,"NA","NA",crustacean_eating_waders,446
2002,"NA","NA",crustacean_eating_waders,622
2003,"NA","NA",crustacean_eating_waders,460
2004,"NA","NA",crustacean_eating_waders,464
2005,"NA","NA",crustacean_eating_waders,352
2006,"NA","NA",crustacean_eating_waders,289
2007,"NA","NA",crustacean_eating_waders,494
2008,"NA","NA",crustacean_eating_waders,290
2009,"NA","NA",crustacean_eating_waders,335
2010,"NA","NA",crustacean_eating_waders,304
2011,"NA","NA",crustacean_eating_waders,262
2012,"NA","NA",crustacean_eating_waders,358
2013,"NA","NA",crustacean_eating_waders,349
2014,"NA","NA",crustacean_eating_waders,320
2015,"NA","NA",crustacean_eating_waders,513
1998,"NA","NA",osprey_nests,61
1999,"NA","NA",osprey_nests,63
2e3,"NA","NA",osprey_nests,58
2001,"NA","NA",osprey_nests,77
2002,"NA","NA",osprey_nests,87
2003,"NA","NA",osprey_nests,71
2004,"NA","NA",osprey_nests,84
2005,"NA","NA",osprey_nests,98
2006,"NA","NA",osprey_nests,108
2007,"NA","NA",osprey_nests,108
2008,"NA","NA",osprey_nests,117
2010,"NA","NA",osprey_nests,115
2011,"NA","NA",osprey_nests,108
2012,"NA","NA",osprey_nests,126
2013,"NA","NA",osprey_nests,138
2014,"NA","NA",osprey_nests,127
1998,"NA","NA",mean_high_water,0.5627
1999,"NA","NA",mean_high_water,0.5221
2e3,"NA","NA",mean_high_water,0.4942
2001,"NA","NA",mean_high_water,0.4983
2002,"NA","NA",mean_high_water,0.4795
2003,"NA","NA",mean_high_water,0.4802
2004,"NA","NA",mean_high_water,0.4747
2005,"NA","NA",mean_high_water,0.5295
2006,"NA","NA",mean_high_water,0.5142
2007,"NA","NA",mean_high_water,0.4676
2008,"NA","NA",mean_high_water,0.497
2009,"NA","NA",mean_high_water,0.5358
2010,"NA","NA",mean_high_water,0.6005
2011,"NA","NA",mean_high_water,0.5836
2012,"NA","NA",mean_high_water,0.5793
2013,"NA","NA",mean_high_water,0.5583
2014,"NA","NA",mean_high_water,0.5664
2004,"NA","NA",water_temperature,19.74
2005,"NA","NA",water_temperature,19.22
2006,"NA","NA",water_temperature,18.69
2007,"NA","NA",water_temperature,21.25
2008,"NA","NA",water_temperature,19.63
2009,"NA","NA",water_temperature,19.12
2010,"NA","NA",water_temperature,18.95
2011,"NA","NA",water_temperature,19.08
2012,"NA","NA",water_temperature,19.93
2013,"NA","NA",water_temperature,19.57
2014,"NA","NA",water_temperature,19.45
1998,bis,low,burrow_density,0
1998,fox,low,burrow_density,0
1998,bru,low,burrow_density,0
1998,app,low,burrow_density,0
1998,pas,low,burrow_density,4
1998,jen,low,burrow_density,8
1998,don,low,burrow_density,0
1998,old,low,burrow_density,0
1998,wat,low,burrow_density,0
1998,fog,low,burrow_density,3
1998,bis,low,burrow_density,0
1998,fox,low,burrow_density,16
1998,bru,low,burrow_density,0
1998,app,low,burrow_density,0
1998,pas,low,burrow_density,0
1998,jen,low,burrow_density,8
1998,don,low,burrow_density,8
1998,old,low,burrow_density,0
1998,wat,low,burrow_density,0
1998,fog,low,burrow_density,0
1998,bis,low,burrow_density,0
1998,fox,low,burrow_density,8
1998,bru,low,burrow_density,0
1998,app,low,burrow_density,0
1998,pas,low,burrow_density,0
1998,jen,low,burrow_density,4
1998,don,low,burrow_density,4
1998,old,low,burrow_density,0
1998,wat,low,burrow_density,0
1998,fog,low,burrow_density,1
1998,bis,high,burrow_density,17
1998,fox,high,burrow_density,0
1998,bru,high,burrow_density,16
1998,app,high,burrow_density,16
1998,pas,high,burrow_density,0
1998,jen,high,burrow_density,0
1998,don,high,burrow_density,48
1998,old,high,burrow_density,0
1998,wat,high,burrow_density,0
1998,fog,high,burrow_density,0
1998,bis,high,burrow_density,18
1998,fox,high,burrow_density,4
1998,bru,high,burrow_density,4
1998,app,high,burrow_density,12
1998,pas,high,burrow_density,0
1998,jen,high,burrow_density,0
1998,don,high,burrow_density,8
1998,old,high,burrow_density,0
