habitat,crab_params,env_params,correlation,n,p
vcb,burrow_density,bare,0.4391622491806372,20,0.05271191690729782
vcb,burrow_density,bulk_density,-0.40602401644072794,19,0.08454996827189776
vcb,burrow_density,cover_disspi,0.019773872890599446,20,0.9340542851812488
vcb,burrow_density,cover_ivafru,NA,20,NA
vcb,burrow_density,cover_junger,NA,20,NA
vcb,burrow_density,cover_spaalt,-0.4534773451715026,20,0.044626316413582945
vcb,burrow_density,cover_spapat,NA,20,NA
vcb,burrow_density,elevation,-0.04626837509901863,20,0.8464122422381872
vcb,burrow_density,height_disspi,NA,0,NA
vcb,burrow_density,height_junger,NA,0,NA
vcb,burrow_density,height_spaalt,-0.2858961717349014,20,0.22172784761303488
vcb,burrow_density,height_spapat,NA,0,NA
vcb,burrow_density,perc_moisture,0.2899605509611199,19,0.2285173565938885
vcb,burrow_density,perc_organic,0.25675831299228696,19,0.28863400599259803
vcb,burrow_density,shear_strength,-0.34771674664778324,18,0.15738983411591345
vcb,carcinus_cpue,bare,0.25941647508758475,20,0.26938128327237365
vcb,carcinus_cpue,bulk_density,0.24003534905680518,19,0.3222574708525636
vcb,carcinus_cpue,cover_disspi,-0.28857895763575675,20,0.21723044046764506
vcb,carcinus_cpue,cover_ivafru,NA,20,NA
vcb,carcinus_cpue,cover_junger,NA,20,NA
vcb,carcinus_cpue,cover_spaalt,-0.2532398923474042,20,0.281353402192998
vcb,carcinus_cpue,cover_spapat,NA,20,NA
vcb,carcinus_cpue,elevation,-0.02416744867218712,20,0.9194431959014373
vcb,carcinus_cpue,height_disspi,NA,0,NA
vcb,carcinus_cpue,height_junger,NA,0,NA
vcb,carcinus_cpue,height_spaalt,-0.061318080477965296,20,0.7973277744877345
vcb,carcinus_cpue,height_spapat,NA,0,NA
vcb,carcinus_cpue,perc_moisture,-0.2799797481664895,19,0.24566010506626923
vcb,carcinus_cpue,perc_organic,-0.3141999219952128,19,0.19017483008204472
vcb,carcinus_cpue,shear_strength,0.13884114193284045,18,0.5827054895091472
vcb,sesarma_cpue,bare,-0.40684798634236374,20,0.07503340563913752
vcb,sesarma_cpue,bulk_density,-0.0602667740471898,19,0.8063907934318322
vcb,sesarma_cpue,cover_disspi,0.26057389454795254,20,0.26717396086067535
vcb,sesarma_cpue,cover_ivafru,NA,20,NA
vcb,sesarma_cpue,cover_junger,NA,20,NA
vcb,sesarma_cpue,cover_spaalt,0.39969775811139074,20,0.08080427333290285
vcb,sesarma_cpue,cover_spapat,NA,20,NA
vcb,sesarma_cpue,elevation,-0.24197954463821741,20,0.30401400200658446
vcb,sesarma_cpue,height_disspi,NA,0,NA
vcb,sesarma_cpue,height_junger,NA,0,NA
vcb,sesarma_cpue,height_spaalt,0.16569875908412887,20,0.48507531278132454
vcb,sesarma_cpue,height_spapat,NA,0,NA
