habitat,crab_params,env_params,correlation,n,p
vcb,burrow_density,bare,0.3954510981566764,20,0.08438385171505658
vcb,burrow_density,bulk_density,-0.43936798961012735,19,0.05981310959314756
vcb,burrow_density,cover_disspi,0.07969139492455775,20,0.7383986637776137
vcb,burrow_density,cover_ivafru,NA,20,NA
vcb,burrow_density,cover_junger,NA,20,NA
vcb,burrow_density,cover_spaalt,-0.42587041339949766,20,0.06117825982701408
vcb,burrow_density,cover_spapat,NA,20,NA
vcb,burrow_density,elevation,-0.19352431585274713,20,0.41363615656318853
vcb,burrow_density,height_disspi,NA,0,NA
vcb,burrow_density,height_junger,NA,0,NA
vcb,burrow_density,height_spaalt,-0.297440096349553,20,0.20280373410280195
vcb,burrow_density,height_spapat,NA,0,NA
vcb,burrow_density,perc_moisture,0.009666095771422802,19,0.9686721087099741
vcb,burrow_density,perc_organic,0.1282954529661572,19,0.6006728287065708
vcb,burrow_density,shear_strength,-0.4242115817692137,18,0.07933954552743039
vcb,carcinus_cpue,bare,0.364977414114653,20,0.11358540736428102
vcb,carcinus_cpue,bulk_density,0.3420599880730292,19,0.15172967324604247
vcb,carcinus_cpue,cover_disspi,-0.30548060885914036,20,0.19027764438517503
vcb,carcinus_cpue,cover_ivafru,NA,20,NA
vcb,carcinus_cpue,cover_junger,NA,20,NA
vcb,carcinus_cpue,cover_spaalt,-0.35137335714552326,20,0.12873004672034916
vcb,carcinus_cpue,cover_spapat,NA,20,NA
vcb,carcinus_cpue,elevation,-0.06003962501783109,20,0.8014717460853895
vcb,carcinus_cpue,height_disspi,NA,0,NA
vcb,carcinus_cpue,height_junger,NA,0,NA
vcb,carcinus_cpue,height_spaalt,-0.008467126605078742,20,0.9717381512560535
vcb,carcinus_cpue,height_spapat,NA,0,NA
vcb,carcinus_cpue,perc_moisture,-0.5184626520792772,19,0.022951894182905663
vcb,carcinus_cpue,perc_organic,-0.40563658271487496,19,0.08487565833668453
vcb,carcinus_cpue,shear_strength,0.08766675278235084,18,0.7294151681815748
vcb,sesarma_cpue,bare,-0.40011258603557104,20,0.08046074415195426
vcb,sesarma_cpue,bulk_density,0.04212529275215176,19,0.8640434452056922
vcb,sesarma_cpue,cover_disspi,0.3602836097921181,20,0.11865806756428032
vcb,sesarma_cpue,cover_ivafru,NA,20,NA
vcb,sesarma_cpue,cover_junger,NA,20,NA
vcb,sesarma_cpue,cover_spaalt,0.3893684242193634,20,0.08971332702558255
vcb,sesarma_cpue,cover_spapat,NA,20,NA
vcb,sesarma_cpue,elevation,0.16170710559186624,20,0.4957983812802871
vcb,sesarma_cpue,height_disspi,NA,0,NA
vcb,sesarma_cpue,height_junger,NA,0,NA
vcb,sesarma_cpue,height_spaalt,0.14468530500324875,20,0.5427860651773724
vcb,sesarma_cpue,height_spapat,NA,0,NA
vcb,sesarma_cpue,perc_moisture,0.4741544579544524,19,0.04026787660726461
vcb,sesarma_cpue,perc_organic,0.35659550143681956,19,0.13397295857151903
vcb,sesarma_cpue,shear_strength,-0.11377867598221794,18,0.6530482438112184
vcb,uca_cpue,bare,-0.04886603330721207,20,0.8378958132538545
vcb,uca_cpue,bulk_density,-0.44431438654433664,19,0.056667880095381706
vcb,uca_cpue,cover_disspi,0.18887816565774082,20,0.42515059200914784
vcb,uca_cpue,cover_ivafru,NA,20,NA
vcb,uca_cpue,cover_junger,NA,20,NA
vcb,uca_cpue,cover_spaalt,0.04886603330721207,20,0.8378958132538545
vcb,uca_cpue,cover_spapat,NA,20,NA
vcb,uca_cpue,elevation,0.3355294108251544,20,0.14811182021161384
vcb,uca_cpue,height_disspi,NA,0,NA
vcb,uca_cpue,height_junger,NA,0,NA
vcb,uca_cpue,height_spaalt,-0.20623557166557954,20,0.38301234352745395
vcb,uca_cpue,height_spapat,NA,0,NA
vcb,uca_cpue,perc_moisture,0.3455778562011507,19,0.14729054899434546
vcb,uca_cpue,perc_organic,0.48716231480647393,19,0.03438661212501182
vcb,uca_cpue,shear_strength,0.13954471593164386,18,0.5807777425455556
mp,burrow_density,bare,0.05385260085655798,20,0.8215966390995784
mp,burrow_density,bulk_density,0.4203279194479121,20,0.0649974004323357
mp,burrow_density,cover_disspi,0.4307985869250847,20,0.05792718262053853
mp,burrow_density,cover_ivafru,NA,20,NA
mp,burrow_density,cover_junger,NA,20,NA
mp,burrow_density,cover_spaalt,-0.41106089454752964,20,0.07178040622567794
mp,burrow_density,cover_spapat,-0.07931962085099467,20,0.7395784275474049
mp,burrow_density,elevation,-0.5283671782928726,20,0.016625441896284343
mp,burrow_density,height_disspi,0.18452843110166864,14,0.5276938407553835
mp,burrow_density,height_junger,NA,0,NA
mp,burrow_density,height_spaalt,-0.3927922024247863,6,0.44111280912130413
mp,burrow_density,height_spapat,-0.3249907754251902,11,0.3294791560740946
mp,burrow_density,perc_moisture,-0.5733178188342065,20,0.008225568029820218
mp,burrow_density,perc_organic,-0.6569102380865117,20,0.001651538696921584
mp,burrow_density,shear_strength,0.23557659894633046,20,0.31737884369469116
mp,carcinus_cpue,bare,-0.04410103024732906,20,0.8535304971609587
mp,carcinus_cpue,bulk_density,0.3939425724310877,20,0.08568319400624813
mp,carcinus_cpue,cover_disspi,0.19344435586511086,20,0.4138328801778006
mp,carcinus_cpue,cover_ivafru,NA,20,NA
mp,carcinus_cpue,cover_junger,NA,20,NA
mp,carcinus_cpue,cover_spaalt,-0.3538115664078532,20,0.12591569629342314
mp,carcinus_cpue,cover_spapat,0.24146137171920623,20,0.3050826819099617
mp,carcinus_cpue,elevation,-0.41224045147843336,20,0.07088881179072937
mp,carcinus_cpue,height_disspi,0.09100375659394323,14,0.7570167153083076
mp,carcinus_cpue,height_junger,NA,0,NA
mp,carcinus_cpue,height_spaalt,NA,6,NA
mp,carcinus_cpue,height_spapat,-0.21390499665408214,11,0.527671603831892
mp,carcinus_cpue,perc_moisture,-0.4800502385362435,20,0.032181689493861354
mp,carcinus_cpue,perc_organic,-0.5446309881151103,20,0.013028498143672795
mp,carcinus_cpue,shear_strength,-0.06678367341115757,20,0.7796717174721883
mp,sesarma_cpue,bare,0.06269760201932427,20,0.7928620600297971
mp,sesarma_cpue,bulk_density,-0.2586072710063133,20,0.27093129221232193
mp,sesarma_cpue,cover_disspi,0.18179036173052476,20,0.4430407421683178
mp,sesarma_cpue,cover_ivafru,NA,20,NA
mp,sesarma_cpue,cover_junger,NA,20,NA
mp,sesarma_cpue,cover_spaalt,-0.16347734765426394,20,0.49102863982963596
mp,sesarma_cpue,cover_spapat,0.23046569694820385,20,0.328295128042253
mp,sesarma_cpue,elevation,-0.05967860100145692,20,0.802642895289257
mp,sesarma_cpue,height_disspi,0.10320313742306722,14,0.725522280810238
mp,sesarma_cpue,height_junger,NA,0,NA
mp,sesarma_cpue,height_spaalt,NA,6,NA
mp,sesarma_cpue,height_spapat,-0.3,11,0.37008312228206797
mp,sesarma_cpue,perc_moisture,-0.05967860100145692,20,0.802642895289257
mp,sesarma_cpue,perc_organic,-0.13925006900339948,20,0.5582037583475348
mp,sesarma_cpue,shear_strength,-0.11944704560013142,20,0.615956111116224
mp,uca_cpue,bare,0.4318296803281155,20,0.05726388943670968
mp,uca_cpue,bulk_density,0.09973675251557604,20,0.6756823535976682
mp,uca_cpue,cover_disspi,-0.18988360163209678,20,0.42264445866787037
mp,uca_cpue,cover_ivafru,NA,20,NA
mp,uca_cpue,cover_junger,NA,20,NA
mp,uca_cpue,cover_spaalt,0.28651408597805234,20,0.22068662149216767
mp,uca_cpue,cover_spapat,-0.5081107959540206,20,0.02217368706807621
mp,uca_cpue,elevation,-0.6498000542681469,20,0.0019280267315548993
mp,uca_cpue,height_disspi,0.21903137311082557,14,0.4518467238117334
mp,uca_cpue,height_junger,NA,0,NA
mp,uca_cpue,height_spaalt,-0.4058397249567139,6,0.42466250756136437
mp,uca_cpue,height_spapat,-0.6575411015672012,11,0.027891779108156545
mp,uca_cpue,perc_moisture,-0.1239153591860187,20,0.6027169793698302
mp,uca_cpue,perc_organic,-0.09520326376486804,20,0.6897043324045415
mp,uca_cpue,shear_strength,0.5361104962925763,20,0.014824957208572576
iva,burrow_density,bare,0.48256543685911646,20,0.03116176622098954
iva,burrow_density,bulk_density,0.47262892696646985,20,0.03534382452681717
iva,burrow_density,cover_disspi,0.22531894136222352,20,0.3395097449030624
iva,burrow_density,cover_ivafru,-0.37206973326260756,20,0.10621941211909425
iva,burrow_density,cover_junger,-0.27400671984842134,20,0.2423892622392534
iva,burrow_density,cover_spaalt,0.26141991703872924,20,0.2655677162888601
iva,burrow_density,cover_spapat,0.14981454783690973,20,0.5284168231334543
iva,burrow_density,elevation,-0.4783926943685,20,0.03286797705047806
iva,burrow_density,height_disspi,-0.38143629368324067,10,0.2767762976520354
iva,burrow_density,height_junger,-0.7637626158259734,8,0.0273960439091121
iva,burrow_density,height_spaalt,-0.9999999999999998,2,NaN
iva,burrow_density,height_spapat,0.9999999999999998,2,NaN
iva,burrow_density,perc_moisture,-0.4973307872608847,20,0.02567445676303204
iva,burrow_density,perc_organic,-0.5170922754964166,20,0.019556159036731025
iva,burrow_density,shear_strength,0.1595323044572223,19,0.5141593876615593
iva,carcinus_cpue,bare,0.11253443377142891,20,0.6366631311857918
iva,carcinus_cpue,bulk_density,0.2586072710063133,20,0.27093129221232193
iva,carcinus_cpue,cover_disspi,0.3189612821514011,20,0.17046528202625977
iva,carcinus_cpue,cover_ivafru,0.09987822280700509,20,0.675246410980239
iva,carcinus_cpue,cover_junger,-0.10247493897529535,20,0.6672624004406593
