test,p,stat
burrow_density_cb_ttest,0.003862288244652626,-3.285844458142333
burrow_density_mp_ttest,0.1924165189119239,-1.3857012482011242
extent_bare_creekbank_cogg_lm,0.021436901089844997,0.9575857385486458
extent_bare_creekbank_nag_lm,0.0887819434559675,0.8303183465718835
fishing_effort_all_predators_lm,0.02748437018881924,0.43404056342450326
fishing_effort_striped_bass_lm,0.006784897549998616,0.5756638293699858
all_wading_birds_lm,2.888065870061131e-4,0.5706604011998544
crustacean_eating_waders_lm,0.0027717187124053667,0.43805969901813124
osprey_nests_lm,1.6890880118636077e-8,0.9036368884678263
mean_high_water_lm,0.025358913378460565,0.2912340224095668
